Model,Video,Precision,Recall,F1,Accuracy
Caffe,Video Benchmark,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.75
Caffe,Video Stress Test,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.6363636363636364
Haar,Video Benchmark,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.75
Haar,Video Stress Test,0.0,0.0,0.0,1.0
